NodeIndex,x,y,velocity
630,1.082886492,0.046788311,9.169489785
631,1.06264422,0.067543448,9.128960391
632,0.933344113,0.271580965,9.020886534
633,0.973812603,0.146880557,9.057006904
634,0.955905709,0.203608608,9.034389959
635,1.018580443,0.122800807,9.072330228
636,1.058347603,0.101279792,9.090614092
637,1.228085614,0.01746097,9.244102036
638,1.125580818,0.030990592,9.25632634
639,1.116533383,0.048493538,9.163596198
640,1.161594567,0.031397412,9.252903515
641,1.197665174,0.030814239,9.251013854
642,1.263168466,0.017314956,9.238778829
643,1.403508772,0.0,0.0
644,1.438596491,0.0,0.0
645,1.333333333,0.007856579,8.259835359
646,1.298247452,0.017249647,9.234443502
647,1.368421053,0.007905028,8.287715197
648,1.052631579,1.0,0.0
649,0.928509663,0.929897578,9.117255904
650,0.949843283,0.951090001,9.158872431
651,0.977469017,0.969691887,9.241200103
652,0.982458723,0.982898556,9.236651581
653,1.017535995,0.982864699,9.232894695
654,1.052631579,0.992144422,8.420084112
655,0.793168432,0.70104561,9.017654655
656,0.83253277,0.747447115,9.02411411
657,0.866210867,0.798053068,9.036195202
658,0.911877152,0.89162724,9.080348897
659,0.894911432,0.846364975,9.052695368
660,0.851960608,0.477247328,9.011441978
661,0.910963041,0.326778318,9.015223891
662,0.870283621,0.435066685,9.0117992
663,0.889552601,0.382095263,9.012802552
664,0.967451513,0.311972585,9.016411014
665,0.816595488,0.644999391,9.013987824
666,0.839258318,0.590438845,9.012232624
667,0.862401384,0.528978358,9.011473671
668,1.097265788,0.076064667,9.115982417
669,0.98599151,0.251442135,9.024384155
670,1.002802346,0.178394611,9.042588219
671,1.047066505,0.152827028,9.054207256
672,1.089979056,0.123062381,9.072708042
673,1.232675651,0.030041686,9.248444126
674,1.149987708,0.050420402,9.156364907
675,1.133606868,0.070849371,9.123352418
676,1.186045432,0.050706514,9.156164142
677,1.224443298,0.047928463,9.164962924
678,1.473684211,0.0,0.0
679,1.50877193,0.0,0.0
680,1.267519551,0.030059528,9.244334265
681,1.403508772,0.007966156,8.315133726
682,1.438596491,0.00802217,8.335908327
683,1.333326529,0.017284473,9.230647706
684,1.303251757,0.029708036,9.241172587
685,1.36840873,0.017391061,9.22872712
686,1.543859649,0.0,0.0
687,1.578947368,0.0,0.0
688,1.087719298,1.0,0.0
689,0.947883122,0.897997052,9.084763405
690,0.965825059,0.928507828,9.114652354
691,0.984884172,0.951933817,9.161378208
692,1.012776339,0.970256366,9.23919853
693,1.087719298,0.992079683,8.442827803
694,1.046497532,0.970668549,9.237535902
695,1.05261875,0.982717729,9.232774949
696,0.850637237,0.689475334,9.016801218
697,0.884079604,0.734478607,9.021980915
698,0.917701255,0.787414309,9.033534828
699,0.948776219,0.851651481,9.055332359
700,0.901462461,0.480871044,9.011557333
701,0.946207766,0.369407952,9.013312606
702,0.92433285,0.427841504,9.012011245
703,1.02361227,0.295408537,9.018104475
704,1.002444102,0.354153578,9.014015075
705,0.872714584,0.632993152,9.013583017
706,0.895932847,0.577660795,9.012142514
707,0.924745466,0.525889289,9.011615271
708,1.129744775,0.10508982,9.086927479
709,1.047436817,0.221357072,9.030485009
710,1.083045041,0.172100815,9.047035829
711,1.121673343,0.154214375,9.055046069
712,1.263276513,0.045941532,9.169807677
713,1.169941347,0.082228091,9.107937177
714,1.208063415,0.070826697,9.122597039
715,1.24193466,0.075016387,9.11695171
