 x,y,velocity
0.687601158,0.932240172,9.123177377
0.768341009,0.970477668,9.260059028
0.771930426,0.982685907,9.259805394
0.740014192,0.954590787,9.170161131
0.802516771,0.970317399,9.257232804
0.80701579,0.982675376,9.258245085
0.737989052,0.121546732,9.071204257
0.776325429,0.101903295,9.088310353
0.729446126,0.169450285,9.045272685
0.692965628,0.211052156,9.028957274
0.658396491,0.279880258,9.018224545
0.530551305,0.663672262,9.013764919
0.551194211,0.616272111,9.011771852
0.584349366,0.423433411,9.010588734
0.629742435,0.331149041,9.013886042
0.60490676,0.381318751,9.011638381
0.568529556,0.56998765,9.010577842
0.594364347,0.47333848,9.010194357
0.592537865,0.529570792,9.010236764
0.86833771,0.050029299,9.163114407
0.81748781,0.076140066,9.114107042
0.851947867,0.070449889,9.123347853
0.916045308,0.030226743,9.268947328
0.947365506,0.017745539,9.267444181
0.90505119,0.047531934,9.170822661
0.950290807,0.030790405,9.263758655
0.982451542,0.017794052,9.265445918
0.54687201,0.720874544,9.018604868
0.591394056,0.766860955,9.027335236
0.628207108,0.83657296,9.045620363
0.652533859,0.880375155,9.071233067
0.688280815,0.896633747,9.083906653
0.837595332,0.970290902,9.255666526
0.842103412,0.982638008,9.257499527
0.724413077,0.923839288,9.109405341
0.775443879,0.955775688,9.172051998
0.759266465,0.933536756,9.123927877
0.809564033,0.955107825,9.16880025
0.766232066,0.151970692,9.053504092
0.80799004,0.1254919,9.069467047
0.748264583,0.210236611,9.030010464
0.723141936,0.284527498,9.017949093
0.682118633,0.326046443,9.014611642
0.582871063,0.667568476,9.01432676
0.603156149,0.615446854,9.012103409
0.637988,0.428862066,9.010887202
0.641872553,0.47330358,9.010531124
0.668574069,0.375463068,9.012226073
0.62198447,0.569038667,9.010935434
0.669889969,0.458820293,9.010808114
0.638102317,0.517705439,9.010508521
0.66907745,0.48891265,9.010678689
0.8862202,0.080239586,9.109253746
0.850034819,0.1024435,9.087947375
0.938687728,0.048767568,9.167115288
0.922207959,0.068970973,9.125985071
1.017540447,0.01784421,9.265284921
0.984642647,0.03018767,9.26372614
0.976185541,0.045152814,9.178493036
0.6129513,0.716532346,9.01844925
0.64931151,0.772453245,9.028651555
0.68569453,0.838154187,9.047176379
0.728026943,0.873640223,9.06725868
0.872698931,0.969969071,9.25143691
0.877195283,0.982609076,9.255465599
0.842842741,0.955355718,9.169570387
0.762032169,0.898422454,9.085526438
0.79516629,0.926576022,9.11272786
0.82765306,0.936222055,9.127792747
0.797574186,0.185961362,9.037974309
0.84244222,0.156444031,9.050995216
